name,nse_tradingsymbol,bse_tradingsymbol,nse_instrument_token,bse_instrument_token
20 Microns Limited,20MICRONS,20MICRONS,4331777,136453636
21st Century Management Services Limited,21STCENMGM,21STCENMGM,1025,134891780
3M India Limited,3MINDIA,3MINDIA,121345,133989124
3P Land Holdings Limited,3PLAND,3PLAND,664321,132119556
5Paisa Capital Limited,5PAISA,5PAISA,113921,138438660
Aarti Drugs Limited,AARTIDRUGS,AARTIDRUGS,1147137,134233092
Aarti Industries Limited,AARTIIND,AARTIIND,1793,134197252
Aarti Surfactants Limited,AARTISURF,AARTISURF,4923649,139061764
Aavas Financiers Limited,AAVAS,AAVAS,1378561,138748932
ABB India Limited,ABB,ABB,3329,128000516
Abbott India Limited,ABBOTINDIA,ABBOTINDIA,4583169,128124932
Aditya Birla Capital Limited,ABCAPITAL,ABCAPITAL,5533185,138416900
Aditya Birla Fashion and Retail Limited,ABFRL,ABFRL,7707649,137153284
ACC Limited,ACC,ACC,5633,128104964
Accelya Solutions India Limited,ACCELYA,ACCELYA,1805569,136260612
Action Construction Equipment Limited,ACE,ACE,3478273,136387076
Acrysil Limited,ACRYSIL,ACRYSIL,481025,134167300
Adani Enterprises Limited,ADANIENT,ADANIENT,6401,131225348
Adani Ports and Special Economic Zone Limited,ADANIPORTS,ADANIPORTS,3861249,136427780
ADF Foods Limited,ADFFOODS,ADFFOODS,5058817,132910852
Ador Welding Limited,ADORWELD,ADORWELD,8705,132362500
Adroit Infotech Limited,ADROITINFO,ADROITINFO,1267969,136236036
Allied Digital Services Limited,ADSL,ADSL,3792129,136416004
Advani Hotels & Resorts (India) Limited,ADVANIHOTR,ADVANIHOTR,3774721,133956868
Advanced Enzyme Technologies Limited,ADVENZYMES,ADVENZYMES,4617985,138246404
Aegis Logistics Limited,AEGISCHEM,AEGISLOG,10241,128000772
Agarwal Industrial Corporation Limited,AGARIND,AGARIND,867585,136171780
Agri-Tech (India) Limited,AGRITECH,AGRITECH,2834433,137546756
Asian Hotels (East) Limited,AHLEAST,AHLEAST,4976129,136506116
Ahluwalia Contracts (India) Limited,AHLUCONT,AHLUCONT,4565249,136399620
Asian Hotels (West) Limited,AHLWEST,AHLWEST,4957697,136504580
AIA Engineering Limited,AIAENG,AIAENG,3350017,136366852
Ajanta Pharma Limited,AJANTPHARM,AJANTPHARM,2079745,136276740
Ajmera Realty & Infra India Limited,AJMERA,AJMERA,4430593,131417348
AksharChem India Limited,AKSHARCHEM,AKSCHEM,5165569,134297092
Akzo Nobel India Limited,AKZOINDIA,AKZOINDIA,375553,128181764
Alankit Limited,ALANKIT,ALANKIT,2539777,135956996
Albert David Limited,ALBERTDAVD,ALBERTDA,4417537,134163204
Alembic Limited,ALEMBICLTD,ALEMBICLTD,20225,129596164
Alicon Castalloy Limited,ALICON,ALICON,3495937,135973636
Alkali Metals Limited,ALKALI,ALKALI,4341505,136455428
Alkem Laboratories Limited,ALKEM,ALKEM,2995969,138117892
Alkyl Amines Chemicals Limited,ALKYLAMINE,ALKYLAMINE,1148673,129732356
Allcargo Logistics Limited,ALLCARGO,ALLCARGO,3456257,136383748
Allsec Technologies Limited,ALLSEC,ALLSEC,3020289,136354052
Almondz Global Securities Limited,ALMONDZ,ALMONDZ,4280065,136038404
Alok Industries Limited,ALOKINDS,ALOKTEXT,4524801,133393924
Alphageo (India) Limited,ALPHAGEO,ALPHAGEO,3736833,134757636
Amara Raja Batteries Limited,AMARAJABAT,AMARAJABAT,25601,128002052
Amber Enterprises India Limited,AMBER,AMBER,303361,138470916
Ambica Agarbathies & Aroma industries Limited,AMBICAAGAR,AMBICAAGAR,2942977,136277764
Ambika Cotton Mills Limited,AMBIKCO,AMBIKCO,3899905,136186372
Ambuja Cements Limited,AMBUJACEM,AMBUJACEM,325121,128108804
AMD Industries Limited,AMDIND,AMDIND,3685889,136403972
Amj Land Holdings Limited,AMJLAND,AMJLAND,665089,128087812
Amrutanjan Health Care Limited,AMRUTANJAN,AMRUTANJAN,4492033,151041540
ANDHRA PAPER LIMITED,ANDHRAPAP,ANDHRAPAP,42497,128596484
The Andhra Sugars Limited,ANDHRSUGAR,ANDHRSUGAR,34817,151055876
Angel Broking Limited,ANGELBRKG,ANGELBRKG,82945,139068164
Anik Industries Limited,ANIKINDS,ANIKINDS,4264193,132962052
Anmol India Limited,ANMOL,ANMOL,954113,138863876
Ansal Housing Limited,ANSALHSG,ANSALHSG,3500289,130003972
The Anup Engineering Limited,ANUP,ANUP,2307585,138869764
Anupam Rasayan India Limited,ANURAS,ANURAS,724225,139078404
Apar Industries Limited,APARINDS,APARINDS,2941697,136258308
Anjani Portland Cement Limited,APCL,APCL,5235969,132631300
Apcotex Industries Limited,APCOTEXIND,APCOTEXIND,39425,134065668
Apex Frozen Foods Limited,APEX,APEX,5535489,138417156
APL Apollo Tubes Limited,APLAPOLLO,APLAPOLLO,6599681,136642052
Alembic Pharmaceuticals Limited,APLLTD,APLLTD,6483969,136594692
Apollo Micro Systems Limited,APOLLO,APOLLO,290305,138465028
Apollo Hospitals Enterprise Limited,APOLLOHOSP,APOLLOHOSP,40193,130270468
Apollo Pipes Limited,APOLLOPIPE,APOLLOPIPES,3676417,136130820
Apollo Tyres Limited,APOLLOTYRE,APOLLOTYRE,41729,128224516
Aptech Limited,APTECHT,APTECHT,2753281,136313604
Archies Limited,ARCHIES,ARCHIES,1456129,136246276
Rajdarshan Industries Limited,ARENTERP,ARENTERP,46337,134825476
Aries Agro Limited,ARIES,ARIES,3892225,136431364
Arman Financial Services Limited,ARMANFIN,ARMANFIN,4419329,135981828
Aro Granite Industries Limited,AROGRANITE,AROGRANITE,3726593,131514628
Arshiya Limited,ARSHIYA,ARSHIYA,4562177,129554948
Arvind Limited,ARVIND,ARVIND,49409,128025860
Arvind Fashions Limited,ARVINDFASN,ARVINDFASN,2332417,138875908
Arvind SmartSpaces Limited,ARVSMART,ARVSMART,2676993,138061060
Asahi India Glass Limited,ASAHIINDIA,ASAHIINDIA,1376769,131847684
Asahi Songwon Colors Limited,ASAHISONG,ASAHISONG,6422529,136410372
Automotive Stampings and Assemblies Limited,ASAL,ASAL,2722305,133150468
Associated Alcohols & Breweries Ltd.,ASALCBR,ASALCBR,4505089,129926660
Ashiana Housing Limited,ASHIANA,ASHIANA,6247169,134071300
Ashoka Buildcon Limited,ASHOKA,ASHOKA,5166593,136517380
Ashok Leyland Limited,ASHOKLEY,ASHOKLEY,54273,128122116
Asian Hotels (North) Limited,ASIANHOTNR,ASIANHOTNR,4716033,128005892
Asian Paints Limited,ASIANPAINT,ASIANPAINT,60417,128209924
Asian Granito India Limited,ASIANTILES,ASIANTILES,3811585,136419332
Astec LifeSciences Limited,ASTEC,ASTEC,4538369,136483332
Aster DM Healthcare Limited,ASTERDM,ASTERDM,386049,138489604
Astral Limited,ASTRAL,ASTRAL,3691009,136404484
Astra Microwave Products Limited,ASTRAMICRO,ASTRAMICRO,2974209,136318212
AstraZeneca Pharma India Limited,ASTRAZEN,ASTRAZEN,1436161,129745924
Astron Paper & Board Mill Limited,ASTRON,ASTRON,223745,138450948
Agro Tech Foods Limited,ATFL,ATFL,425729,128055044
Atul Limited,ATUL,ATUL,67329,128006916
Atul Auto Limited,ATULAUTO,ATULAUTO,7685889,136139524
AU Small Finance Bank Limited,AUBANK,AUBANK,5436929,138396420
Aurionpro Solutions Limited,AURIONPRO,AURIONPRO,3077633,136363012
Aurobindo Pharma Limited,AUROPHARMA,AUROPHARMA,70401,134349828
Ausom Enterprise Limited,AUSOMENT,AUSOMENT,1033473,130306308
Automotive Axles Limited,AUTOAXLES,AUTOAXLES,71169,129282564
Avadh Sugar & Energy Limited,AVADHSUGAR,AVADHSUGAR,5479937,138406148
Avanti Feeds Limited,AVANTIFEED,AVANTI,2031617,131218692
AVT Natural Products Limited,AVTNPL,AVTNPL,3586049,132890884
Antony Waste Handling Cell Limited,AWHCL,AWHCL,460033,139073028
Axis Bank Limited,AXISBANK,AXISBANK,1510401,136247044
AYM Syntex Limited,AYMSYNTEX,AYMSYNTEX,2632961,130286852
Bafna Pharmaceuticals Limited,BAFNAPH,BAFNAPHARM,4541953,136445188
Bajaj Auto Limited,BAJAJ-AUTO,BAJAJ-AUTO,4267265,136442116
Bajaj Consumer Care Limited,BAJAJCON,BAJAJCON,4999937,136506628
Bajaj Electricals Limited,BAJAJELEC,BAJAJELEC,3848705,128007940
Bajaj Finserv Limited,BAJAJFINSV,BAJAJFINSV,4268801,136442372
Bajaj Hindusthan Sugar Limited,BAJAJHIND,BAJAJHIND,78849,128008196
Bajaj Holdings & Investment Limited,BAJAJHLDNG,BAJAJHLDNG,78081,128125444
Bajaj Finance Limited,BAJFINANCE,BAJFINANCE,81153,128008708
Balaji Telefilms Limited,BALAJITELE,BALAJITELE,2344449,136289796
Balaji Amines Limited,BALAMINES,BALAMINES,3712257,135935748
Balkrishna Industries Limited,BALKRISIND,BALKRISIND,85761,128602884
Balmer Lawrie & Company Limited,BALMLAWRIE,BALMLAWRIE,86529,133969668
Balrampur Chini Mills Limited,BALRAMCHIN,BALRAMCHIN,87297,128009732
Banaras Beads Limited,BANARBEADS,BANARBEADS,88833,134873348
Bannari Amman Sugars Limited,BANARISUG,BANARISUG,89601,128010500
Banco Products (I) Limited,BANCOINDIA,BANCOINDIA,3553281,128009988
Bandhan Bank Limited,BANDHANBNK,BANDHANBNK,579329,138535172
Bang Overseas Limited,BANG,BANG,3917569,136434180
Bank of Baroda,BANKBARODA,BANKBARODA,1195009,136226308
Bank of India,BANKINDIA,BANKINDIA,1214721,136230148
Barbeque Nation Hospitality Limited,BARBEQUE,BARBEQUE,800513,139080452
BASF India Limited,BASF,BASF,94209,128010756
Bata India Limited,BATAINDIA,BATAINDIA,94977,128011012
Bayer Cropscience Limited,BAYERCROP,BAYERCROP,4589313,129608964
Bharat Bijlee Limited,BBL,BBL,3522817,129013764
Bombay Burmah Trading Corporation Limited,BBTC,BBTC,97281,128364804
Brightcom Group Limited,BCG,BCG,2261249,136286212
Bcl Industries Limited,BCLIND,BCLIL,643329,134228996
Bharat Dynamics Limited,BDL,BDL,548865,138532612
Mrs. Bectors Food Specialities Limited,BECTORFOOD,BECTORFOOD,416769,139072772
Bharat Electronics Limited,BEL,BEL,98049,128012548
BEML Limited,BEML,BEML,101121,128012292
Bhansali Engineering Polymers Limited,BEPL,BEPL,107265,128013316
Berger Paints (I) Limited,BERGEPAINT,BERGEPAINT,103425,130426884
Best Agrolife Limited,BESTAGRO,BESTAGRO,590337,138152964
BF Investment Limited,BFINVEST,BFINVEST,5404929,136525572
BF Utilities Limited,BFUTILITIE,BFUTILITIE,3729153,136302084
BGR Energy Systems Limited,BGRENERGY,BGRENERGY,3888385,136430084
Bhageria Industries Limited,BHAGERIA,BHAGIL,3430401,135885572
Bhagyanagar India Limited,BHAGYANGR,BHAGYNAGAR,5318657,131147780
Bhagyanagar Properties Limited,BHAGYAPROP,BHAGYAPROP,5460993,138398980
Bhandari Hosiery Exports Limited,BHANDARI,BHANDHOS,5006337,131227652
Bharat Forge Limited,BHARATFORG,BHARATFORG,108033,128126212
Bharat Gears Limited,BHARATGEAR,BHARATGEAR,109057,129456132
Bharat Rasayan Limited,BHARATRAS,BHARATRAS,981505,151045380
Bharat Wire Ropes Limited,BHARATWIRE,BHARATWIRE,4127489,138188548
Bharti Airtel Limited,BHARTIARTL,BHARTIARTL,2714625,136308228
Bharat Heavy Electricals Limited,BHEL,BHEL,112129,128026372
Bigbloc Construction Limited,BIGBLOC,BIGBLOC,4718337,138255620
Oswal Chemicals & Fertilizers Limited,BINDALAGRO,BINDALAGRO,120577,138058244
Biocon Limited,BIOCON,BIOCON,2911489,136325892
Biofil Chemicals & Pharmaceuticals Limited,BIOFILCHEM,BIOFILCHEM,1058817,134245380
Birla Cable Limited,BIRLACABLE,BIRLACABLE,122113,128015364
Birla Corporation Limited,BIRLACORPN,BIRLACORPN,122881,128085764
Aditya Birla Money Limited,BIRLAMONEY,BIRLAMONEY,3901185,136441348
Birla Tyres Limited,BIRLATYRE,BIRLATYRES,4502017,138990596
BLB Limited,BLBLIMITED,BLBLIMITED,2081793,136266244
Bliss GVS Pharma Limited,BLISSGVS,BLISSGVS,4931841,129586436
B. L. Kashyap and Sons Limited,BLKASHYAP,BLKASHYAP,3402241,136376068
BLS International Services Limited,BLS,BLS,4423425,138258692
Blue Dart Express Limited,BLUEDART,BLUEDART,126721,134812676
Blue Star Limited,BLUESTARCO,BLUESTARCO,2127617,128017156
Bodal Chemicals Limited,BODALCHEM,BODALCHEM,6404353,134238724
Bombay Dyeing & Mfg Company Limited,BOMDYEING,BOMDYEING,131329,128005124
Borosil Limited,BOROLTD,BOROLTD,4966657,139062276
Bosch Limited,BOSCHLTD,BOSCHLTD,558337,128135684
Bharat Petroleum Corporation Limited,BPCL,BPCL,134657,128140036
BPL Limited,BPL,BPL,135681,128018948
Bombay Rayon Fashions Limited,BRFL,BRFL,3344897,136365572
Brigade Enterprises Limited,BRIGADE,BRIGADE,3887105,136429828
Britannia Industries Limited,BRITANNIA,BRITANNIA,140033,128211204
Bharat Road Network Limited,BRNL,BRNL,5550849,138419204
Brooks Laboratories Limited,BROOKS,BROOKS,6434817,136587012
BSEL Infrastructure Realty Limited,BSELINFRA,BSELINFRA,2469633,136223492
BSL Limited,BSL,BSL,143105,131595524
BIRLASOFT LIMITED,BSOFT,BSOFT,1790465,136294404
Burger King India Limited,BURGERKING,BURGERKING,382465,139071492
Cadila Healthcare Limited,CADILAHC,CADILAHC,2029825,136274180
Camlin Fine Sciences Limited,CAMLINFINE,CAMLINFINE,1591297,136405508
Computer Age Management Services Limited,CAMS,CAMS,87553,139067396
Canara Bank,CANBK,CANBK,2763265,136315652
Can Fin Homes Limited,CANFINHOME,CANFINHOME,149249,130866180
Cantabil Retail India Limited,CANTABIL,CANTABIL,5160961,136516356
Capacit'e Infraprojects Limited,CAPACITE,CAPACITE,5567745,138421764
Caplin Point Laboratories Limited,CAPLIPOINT,CAPPL,999937,134333956
Capital Trust Limited,CAPTRUST,CAPITALT,4978433,130945284
Carborundum Universal Limited,CARBORUNIV,CARBORUNIV,152321,131424004
Career Point Limited,CAREERP,CAREERP,5142017,136514564
CARE Ratings Limited,CARERATING,CARERATING,7452929,136909828
Castrol India Limited,CASTROLIND,CASTROLIND,320001,128222724
CCL Products (India) Limited,CCL,CCL,2931713,133017604
CEAT Limited,CEATLTD,CEATLTD,3905025,128224772
Commercial Engineers & Body Builders Co Limited,CEBBCO,CEBBCO,5177345,136517636
Celebrity Fashions Limited,CELEBRITY,CELEBRITY,3369473,136369924
Century Enka Limited,CENTENKA,CENTENKA,158465,128071684
Century Extrusions Limited,CENTEXT,CENTEXT,2946817,128021252
Central Bank of India,CENTRALBK,CENTRALBK,3812865,136418564
Centrum Capital Limited,CENTRUM,CENTRUM,628225,128294404
Centum Electronics Limited,CENTUM,CENTUM,3835393,132491268
Century Plyboards (India) Limited,CENTURYPLY,CENTURYPLY,3406081,136332292
Century Textiles & Industries Limited,CENTURYTEX,CENTURYTEX,160001,128010244
Cera Sanitaryware Limited,CERA,CERA,3849985,136305412
Cerebra Integrated Technologies Limited,CEREBRAINT,CEREBRAINT,7683073,136297732
CESC Limited,CESC,CESC,160769,128021508
Capri Global Capital Limited,CGCL,CGCL,5204225,136088324
Chalet Hotels Limited,CHALET,CHALET,2187777,138854148
Chambal Fertilizers & Chemicals Limited,CHAMBLFERT,CHAMBLFERT,163073,128021764
Chembond Chemicals Ltd,CHEMBOND,CHEMBOND,3742209,135902980
Chemcon Speciality Chemicals Limited,CHEMCON,CHEMCON,69121,139067652
Chemfab Alkalis Limited,CHEMFAB,CHEMFABALKA,716545,138564868
Chennai Petroleum Corporation Limited,CHENNPETRO,CHENNPETRO,524545,128028164
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,CHOLAFIN,175361,130878212
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,CHOLAHLDNG,5565441,129273092
Cigniti Technologies Limited,CIGNITITEC,CIGNITI,1316353,136898052
Cineline India Limited,CINELINE,CINELINE,6953217,136398596
Cipla Limited,CIPLA,CIPLA,177665,128022276
CL Educate Limited,CLEDUCATE,CLEDUCATE,5177089,138343172
Clariant Chemicals (India) Limited,CLNINDIA,CLNINDIA,183041,129635844
Chaman Lal Setia Exports Limited,CLSEL,CHAMANSEQ,891393,135758596
CMI Limited,CMICABLES,CMI,4898049,132436484
Coal India Limited,COALINDIA,COALINDIA,5215745,136519172
Cochin Shipyard Limited,COCHINSHIP,COCHINSHIP,5506049,138413572
Coffee Day Enterprises Limited,COFFEEDAY,COFFEEDAY,2858241,138095620
Coforge Limited,COFORGE,COFORGE,2955009,136330500
Colgate Palmolive (India) Limited,COLPAL,COLPAL,3876097,128212484
Compuage Infocom Limited,COMPINFO,COMPUAGE,4513793,136308740
Container Corporation of India Limited,CONCOR,CONCOR,1215745,136024068
Confidence Petroleum India Limited,CONFIPET,CONFIPET,2620929,134868228
Control Print Limited,CONTROLPR,CONTROLPR,4474113,133707524
Coral India Finance & Housing Limited,CORALFINAC,CORALFINAC,1025793,136078340
Cords Cable Industries Limited,CORDSCABLE,CORDSCABLE,3909377,136432900
Coromandel International Limited,COROMANDEL,COROMANDEL,189185,129637124
Cosmo Films Limited,COSMOFILMS,COSMOFILMS,189953,130256388
Craftsman Automation Limited,CRAFTSMAN,CRAFTSMAN,730625,139078660
Creative Eye Limited,CREATIVEYE,CREATIVEYE,2402305,136292356
CREDITACCESS GRAMEEN LIMITED,CREDITACC,CREDITACC,1131777,138693124
Crest Ventures Limited,CREST,CREST,3558401,130921732
CRISIL Limited,CRISIL,CRISIL,193793,128023556
Crompton Greaves Consumer Electricals Limited,CROMPTON,CROMPTON,4376065,138208260
CSB Bank Limited,CSBBANK,CSBBANK,3831297,138973956
Cambridge Technology Enterprises Limited,CTE,CTE,3639809,136397060
City Union Bank Limited,CUB,CUB,1459457,136245764
Cummins India Limited,CUMMINSIND,CUMMINSIND,486657,128122884
Cupid Limited,CUPID,CUPID,4741121,135895812
Cyber Media (India) Limited,CYBERMEDIA,CYBERMEDIA,3031553,136355844
Cybertech Systems And Software Limited,CYBERTECH,CYBERTECH,1549057,136236292
Cyient Limited,CYIENT,CYIENT,1471489,136236804
LT Foods Limited,DAAWAT,DAAWAT,3536897,136392452
Dabur India Limited,DABUR,DABUR,197633,128024580
Dalmia Bharat Limited,DALBHARAT,DALBHARAT,2067201,138807300
Dalmia Bharat Sugar and Industries Limited,DALMIASUG,DALMIASUG,199937,128024836
Damodar Industries Limited,DAMODARIND,DAMOINDUS,4490497,133432324
Datamatics Global Services Limited,DATAMATICS,DATAMATICS,2924289,136327172
D.B.Corp Limited,DBCORP,DBCORP,4577537,136486660
Dilip Buildcon Limited,DBL,DBL,4630017,138252036
D B Realty Limited,DBREALTY,DBREALTY,4639745,136488964
Dishman Carbogen Amcis Limited,DCAL,DCAL,5556225,138419460
DCB Bank Limited,DCBBANK,DCBBANK,3513601,136389636
DCM Financial Services Limited,DCMFINSERV,DCMFINSERV,1222401,130972420
DCM Nouvelle Limited,DCMNVL,DCMNVL,2825985,138938628
DCM Shriram Limited,DCMSHRIRAM,DCMSHRIRAM,207617,133981956
DCW Limited,DCW,DCW,209153,128029956
Deccan Cements Limited,DECCANCE,DECCANCE,3798529,128547076
Deepak Nitrite Limited,DEEPAKNTR,DEEPAKNI,5105409,129638660
DEEP ENERGY RESOURCES LIMITED,DEEPENR,DEEPENR,4670465,136386564
Deep Industries Limited,DEEPINDS,DEEPIND,842753,139081732
Delta Corp Limited,DELTACORP,DELTACORP,3851265,136409092
Den Networks Limited,DEN,DEN,4536833,136483076
De Nora India Limited,DENORA,DENORA,1095425,151047940
DFM Foods Limited,DFMFOODS,DFM,4933377,133014532
Dhampur Sugar Mills Limited,DHAMPURSUG,DHAMPURSUG,219393,128030468
Dhanlaxmi Bank Limited,DHANBANK,DHANBANK,2907905,136238084
Dhani Services Limited,DHANI,DHANI,3938305,136437764
Dhanuka Agritech Limited,DHANUKA,DHANUKA,6248705,129975556
Dharani Sugars & Chemicals Limited,DHARSUGAR,DHARSUGAR,221697,129905156
Dhunseri Investments Limited,DHUNINV,DHUNINV,5691649,136534020
Prataap Snacks Limited,DIAMONDYD,DIAMONDYD,5591041,138425348
DIC India Limited,DICIND,DICIND,179969,128022788
Dish TV India Limited,DISHTV,DISHTV,3721473,136406788
Divi's Laboratories Limited,DIVISLAB,DIVISLAB,2800641,136316932
Dixon Technologies (India) Limited,DIXON,DIXON,5552641,138418948
DLF Limited,DLF,DLF,3771393,136414212
D-Link (India) Limited,DLINKINDIA,DLINKINDIA,4569857,136485380
Avenue Supermarts Limited,DMART,DMART,5097729,138336260
Diligent Media Corporation Limited,DNAMEDIA,DNAMEDIA,164097,138441988
Dolat Investments Limited,DOLAT,DOLAT,3103745,129414660
Dollar Industries Limited,DOLLAR,DOLLAR,5263361,138599172
Donear Industries Limited,DONEAR,DONEAR,3542785,131204868
Dredging Corporation of India Limited,DREDGECORP,DREDGECORP,2885377,134046212
Dr. Reddy's Laboratories Limited,DRREDDY,DRREDDY,225537,128031748
Dynacons Systems & Solutions Limited,DSSL,DSSL,6576641,136285444
Dhunseri Tea & Industries Limited,DTIL,DHUNTEAIND,1594113,137958916
Dhunseri Ventures Limited,DVL,DVL,3894785,134076420
Dwarikesh Sugar Industries Limited,DWARKESH,DWARKESH,2986753,136348164
Dynamatic Technologies Limited,DYNAMATECH,DYNAMATECH,1158401,129341956
Dynemic Products Limited,DYNPRO,DYNPRO,5456385,136372996
Easy Trip Planners Limited,EASEMYTRIP,EASEMYTRIP,714753,139077636
EBIXCASH WORLD MONEY INDIA LIMITED,EBIXFOREX,EBIXFOREX,6244097,136563716
Edelweiss Financial Services Limited,EDELWEISS,EDELWEISS,3870465,136428036
Eicher Motors Limited,EICHERMOT,EICHERMOT,232961,129331204
EID Parry India Limited,EIDPARRY,EIDPARRY,234497,128032004
EIH Associated Hotels Limited,EIHAHOTELS,EIHAHOTELS,3942145,133920516
EIH Limited,EIHOTEL,EIHOTEL,235265,128215044
Eimco Elecon (India) Limited,EIMCOELECO,EIMCOELECO,1034241,134069252
Elecon Engineering Company Limited,ELECON,ELECON,3492609,129459204
Electrosteel Castings Limited,ELECTCAST,ELECTCAST,237569,128032772
Electrotherm (India) Limited,ELECTHERM,ELECTHERM,1144065,134811652
Elgi Equipments Limited,ELGIEQUIP,ELGIEQUIP,239873,133650948
Emami Limited,EMAMILTD,EMAMILTD,3460353,135977476
Emami Paper Mills Limited,EMAMIPAP,EMAMIPAP,2578945,136501252
Emami Realty Limited,EMAMIREAL,EMAMIREAL,4934913,136503812
Emkay Global Financial Services Limited,EMKAY,EMKAY,3435777,136380676
Emmbi Industries Limited,EMMBI,EMMBI,4644353,136489220
Endurance Technologies Limited,ENDURANCE,ENDURANCE,4818433,138279172
